,Academic Year,No. of credit(s),Lecture,Lab session,Pre-requisite(s),Co-requisite(s),Mutually exclusive with,Remarks,Course Code,Course Description,Learning Outcomes,Continuous Assessment Weighting in final course grade (%),Written Examination Weighting in final course grade (%),Tutorial,Other,Recommended Learning Hours,Self-study & practical modules,Choi Loretta
52,2022,6,36.0,,COMP2119 or FITE2000,,ELEC4544 or IIMT3688,,COMP3270A,This is an introduction course on the subject of artificial intelligence. Topics include: intelligent agents; search techniques for problem solving; knowledge representation; logical inference; reasoning under uncertainty; statistical models and machine learning. ,[1] understand the basic principles and technologies of intelligent computer systems; [2] explain the algorithms to achieve AI; [3] develop some AI programs,50,50,3.0,,,,
53,2022,6,36.0,,COMP2119 or FITE2000,,ELEC4544 or IIMT3688,,COMP3270B,This is an introduction course on the subject of artificial intelligence. Topics include: intelligent agents; search techniques for problem solving; knowledge representation; logical inference; reasoning under uncertainty; statistical models and machine learning. ,[1] understand the basic principles and technologies of intelligent computer systems; [2] explain the algorithms to achieve AI; [3] develop some AI programs,50,50,3.0,,,,
54,2022,6,,,COMP2119,,,,COMP3271,"Overview of graphics hardware, basic drawing algorithms, 2-D transformations, windowing and clipping, interactive input devices, curves and surfaces, 3-D transformations and viewing, hidden-surface and hidden-line removal, shading and colour models, modelling, illumination models, image synthesis, computer animation.","[Computer graphics concepts] Be able to understand the basic concepts and apply them in analyzing and solving problems.; [Computer graphics models] Be able to understand the meaning and purpose of mathematical models in computer graphics, derive parameters for such models, implement such models in software systems, and apply such models to explain real-world phenomena.; [Computer graphics algorithms] Be able to disseminate and implement computer graphics algorithms, and understand their computing requirements.; [Computer graphics tools] Be able to use 2D and 3D graphics libraries, such as OpenGL, in software development.",50,50,6.0,,,,
55,2022,6,34.0,,COMP2119 or ELEC2543 or FITE2000; and MATH1853 or MATH2014,,,,COMP3314A,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms",50,50,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
56,2022,6,34.0,,COMP2119 or ELEC2543 or FITE2000; and MATH1853 or MATH2014,,,,COMP3314B,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms",50,50,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
57,2022,6,34.0,,COMP2119 or ELEC2543 or FITE2000; and MATH1853 or MATH2014,,,,COMP3314C,"This course introduces algorithms, tools, practices, and applications of machine learning. Topics include core methods such as supervised learning (classification and regression), unsupervised learning (clustering, principal component analysis), Bayesian estimation, neural networks; common practices in data pre-processing, hyper-parameter tuning, and model evaluation; tools/libraries/APIs such as scikit-learn, Theano/Keras, and multi/many-core CPU/GPU programming. ","[1] understand the motivations and principles for building adaptive systems based on empirical data, and how machine learning relates to the broader field of artificial intelligence; [2] formulate problems associated with domain specific data (e.g., image classification, document clustering) in terms of abstract models of machine learning; [3] implement solutions to machine learning problems using tools such as Matlab or Octave, apply numerical optimization algorithms",50,50,5.0,,"Lecture:
      34.0


Tutorial:
      5.0",,
58,2022,6,,,MATH1853 or MATH2014 or MATH2101,,,,COMP3316,"This course offers an introduction to the interdisciplinary field of quantum information and computation. We will start from the basic rules of quantum theory and become familiar with the counterintuitive notions of quantum superposition and entanglement. In particular, we will see how quantum systems could be used to detect an object without directly interacting with it (Elitzur-Vaidman bomb tester), to increase the amount of bits that can be sent through a transmission line (dense coding), and to increase the chance to win certain games (CHSH game and GHZ game). Once the basics have been covered, we will provide an overview of quantum computation and of major quantum algorithms such as Grover's search algorithm and Shor's factoring algorithm for prime factorization. Finally, we will introduce the upgraded framework of quantum theory, and use it to explore applications to quantum error correction, quantum state discrimination, quantum cryptography, and quantum teleportation. ","[Basic Working knowledge] Able to use the basic rules of quantum theory: states, measurements, gates, composite systems.; [Modeling] Able to model basic information-theoretic tasks in the quantum domain: quantum communication, quantum games, quantum computation.; [Higher-level reasoning] Able to deduce new results from the basic knowledge provided in the course.; [Self-learning] Able to self-learn a new topic and/or to approach a mini research problem.",50,50,4.0,,,,
59,2022,6,,,COMP2119; and MATH1853 or MATH2014 or MATH2101,,,,COMP3317,"This course introduces the principles, mathematical models and applications of computer vision. Topics include: image processing techniques, feature extraction techniques, imaging models and camera calibration techniques, stereo vision, and motion analysis.","[Image processing] Students understand how images are digitally represented and learn how to perform image processing, e.g. logic and arithmetic operations, convolution, and filtering.; [Feature extraction] Students are able to implement low-level edge and corner detection algorithms to discard redundant and preserve useful information.; [Camera model and calibration] Students are able to model a projective pinhole camera by applying techniques such as perspective projection, rigid body motion and homogeneous coordinates. Students are able to discover the intrinsic and extrinsic camera parameters using linear least squares on a set of equations.; [Stereo vision] Students are able to extract 3D information from images and recover world positions through triangulation. They understand fundamental concepts in multiple view geometry, such as the correspondence problem, the essential/fundamental matrix, and the epipolar geometry.",50,50,13.0,,,,
60,2022,6,36.0,16.0,COMP1117 or ENGG1330,,IIMT3663,,COMP3322A,"Selected network protocols relevant to the World Wide Web (e.g., HTTP, DNS, IP); World Wide Web; technologies for programming the Web (e.g, HTML, XML, style sheets, PHP, JavaScript, Node.js.; other topics of current interest (AJAX, HTML5, web services, cloud computing).",[Web technologies] Able to master the key technologies about the World Wide Web and be able to contrast similar technologies.; [Application Development] Able to implement web based systems to solving real-life problems,60,40,,,,,
61,2022,6,36.0,16.0,COMP1117 or ENGG1330,,IIMT3663,,COMP3322B,"Selected network protocols relevant to the World Wide Web (e.g., HTTP, DNS, IP); World Wide Web; technologies for programming the Web (e.g, HTML, XML, style sheets, PHP, JavaScript, Node.js.; other topics of current interest (AJAX, HTML5, web services, cloud computing).",[Web technologies] Able to master the key technologies about the World Wide Web and be able to contrast similar technologies.; [Application Development] Able to implement web based systems to solving real-life problems,60,40,,,,,
62,2022,6,,,COMP2113 or COMP2123 or ENGG1340,,,,COMP3329,"This course introduces the concepts and techniques for computer game design and development. Topics include: game history and genres, game design process, game engine, audio and visual design, 2D and 3D graphics, physics, optimization, camera, network, artificial intelligence and user interface design. Students participate in group projects to gain hands-on experience in using common game engine in the market. ","[implement a workable game in particular platform] Be able to implement a workable game in particular platform; [understand different aspects of game design] Be able to understand different aspects of game design including UI, programming, marketing, etc.; [present the game idea in both written and oral form] Be able to present the game idea in both written and oral form; [learn new development environment] Be able to learn new development environment; [learn from other source codes and projects] Be able to learn from other source codes and projects",70,30,10.0,,,,
63,2022,6,,,COMP2396 or FITE2000,,,,COMP3330,"This course aims at introducing the design and development issues of mobile apps. Students will learn the basic principles, constraints and lifecycle of mobile apps. Then they will learn how to use modern object-oriented languages for the development and different design patterns. Next they will learn various development issues such as graphics, touch events, handling of concurrency, sensors, location services and server connection. Students will also participate in both individual assignments and group project to practice ideation, reading, writing, coding and presentation throughout this course.","[1] Understand the basics about mobile apps development, including features of mobile devices, types and lifecycle of applications, and markets; [2] Be able to develop mobile applications using common IDEs in the community; [3] Understand various components for interactive mobile application development, including user interface design, graphics, handling of concurrency, local database, network, multimedia, use of sensors and location services, testing and publication of mobile apps; [4]   Exercise project management skills including ideation, reading, writing, coding, and presentation; [5] Possess the mentality to deal with the fast-changing future mobile application development world",70,30,10.0,,,,
64,2022,6,,,COMP2119 or ELEC2543 or FITE2000; and MATH1853 or MATH2014,,ELEC4544,,COMP3340,"An introduction to algorithms and applications of deep learning.  The course helps students get hands-on experience of building deep learning models to solve practical tasks including image recognition, image generation, reinforcement learning, and language translation. Topics include: machine learning theory; optimization in deep learning; convolutional neural networks; recurrent neural networks; generative adversarial networks; reinforcement learning; self-driving vehicle.","[1] understand the motivations and principles for building deep learning systems based on empirical data, and how deep learning relates to the broader field of artificial intelligence.; [2] formulate problems associated with domain specific data (e.g., image recognition, image generation, reinforcement learning, and language translation) in terms of deep learning models.; [3] implement solutions to computer vision, natural language processing, and robotic problems using deep learning toolboxes such as PyTorch or Tensorflow, apply numerical optimization algorithms.",50,50,13.0,,,,
65,2022,6,,8.0,COMP1117 or ENGG1330,,,,COMP3353,"The goal of the course is for students to be grounded in basic bioinformatics concepts, algorithms, tools, and databases. Students will be leaving the course with hands-on bioinformatics analysis experience and empowered to conduct independent bioinformatics analyses. We will study: 1) algorithms, especially those for sequence alignment and assembly, which comprise the foundation of the rapid development of bioinformatics and DNA sequencing; 2) the leading bioinformatics tools for comparing and analyzing genomes starting from raw sequencing data; 3) the functions and organization of a few essential bioinformatics databases and learn how they support various types of bioinformatics analysis. ","[Bioinformatics Algorithms] Be able to understand the important algorithms used in bioinformatics.; [Bioinformatics Tools] Be able to understand the theoretical foundations and applications for several leading bioinformatics tools.; [Bioinformatics Database] Be able to understand the function and organization of a few essential bioinformatics databases, and how do they support various types of bioinformatics analysis.; [Bioinformatics Analysis] Be able to perform a few basic bioinformatics analyses using both existing and self-written tools.; [Bioinformatics Self-learning] Be able to utilize the learnt knowledge to understand a bioinformatics new topic.",70,30,2.5,,,,
66,2022,6,,,COMP2119 or ELEC2543 or FITE2000,,ELEC4641,,COMP3355,"This course introduces the principles, mechanisms and implementation of cyber security and data protection. Knowledge about the attack and defense are included. Topics include notion and terms of cyber security; network and Internet security, introduction to encryption: classic and modern encryption technologies; authentication methods; access control methods; cyber attacks and defenses (e.g. malware, DDoS).","[Foundation] Be able to understand the principles and objectives of information security, encryption, cyber-attacks and defense.; [Model] Be able to understand security models and to apply the model to achieve the security objectives.; [Design] Be able to understand the basic principles of security design and to apply the principles.; [Application] Be able to understand the security issues of a real-life Internet applications.; [Application development] Be able to implement a practical Internet application in a secure manner.",50,50,3.0,,,,
67,2022,6,,,MATH1853 or MATH2014; and COMP2121 or STAT2601; and COMP2119 or FITE2000,,,,COMP3356,"This course provides an introduction to mathematics and algorithms underneath state-of-the-art robotic systems. The majority of these techniques are heavily based on probabilistic reasoning and optimization – two areas with wide applicability in modern AI. We will also cover some basic knowledge about robotics, namely geometry, kinematics, dynamics, control of a robot, as well as the mathematical tools required to describe the spatial motion of a robot will be presented. In addition, we will cover perception, planning, and learning for a robotic system, with the obstacle avoidance and robotic arm manipulation as typical examples. Note: The focus of the course is on mathematics and algorithms; we will not study mechanical or electrical design of robots.","[1] Understand the motivations and principles for building autonomous robotic system based on sensory perception, control principles, and AI algorithms; and how robotics relates to the broader field of artificial intelligence; [2] Formulate problems associated with domain specific data (e.g., obstacle avoidance and robotic arm manipulation) in terms of abstract models of robotics and AI algorithms; [3] Implement solutions to robotics problems using tools such as Matlab, apply numerical optimization and machine learning algorithms",50,50,,,,,
68,2022,6,,,MATH1853 or MATH2014 or MATH2101,,,,COMP3357,"This course offers a gentle introduction to the field of cryptography. We will start from the basic principles of confidentiality, integrity and authentication.  After that, we will go through some fundamental cryptographic primitives like hash function, symmetric key encryption, public key encryption and digital signatures.  Finally, we will introduce the basics of quantum cryptography including quantum key distribution and random number generation. ","[Basic working knowledge] Understand the basic elementary knowledge of one-way function, such as discrete logarithm and RSA. Learn the elementary tools of pseudorandom number generator.  Be familiar with tools of quantum information theory.   Understand the basics of modern quantum cryptography including quantum key distribution and quantum random number generation.; [Problem modeling] Model the security requirements of confidentiality, integrity and authentication, such as the Chosen Ciphertext Attack (CCA) model. Model cryptographic tasks in quantum theory.; [Problem solving] Understand the difference between cryptographic primitives like hash function, symmetric key encryption, public key encryption and digital signatures.  Apply different cryptographic primitives in practical applications.  Establish the security of simple protocols for quantum key distribution and random bit generation.; [Self-learning] Able to self-learn basic topics in cryptography come up with creative solutions to simple problems",50,50,4.0,,,,
69,2022,6,,,COMP3230 or COMP3234,,,,COMP3358,"This course introduces the basic concepts and modern software architectures on distributed and parallel computing. Topics include: computer network primitives, distributed transactions and two-phase commits, webservices, parallelism and scalability models, distributed consistency models, distributed fault-tolerance, actor and monads, Facebook photo cache, Amazon key-value stores, Google Map-reduce, Spark, and TensorFlow.","[Distributed and Parallel Computing Concepts] Students are able to apply distributed and parallel computing concepts, to make correct conceptual choices, and to design software architectures for solving real-world problems.; [Distributed Fault-tolerant Architectures] Students are able to design and implement distributed software architectures that are efficient and fault-tolerant, and to deploy them on modern clouds.; [Parallel Computing Architectures] Students are able to design and implement parallel software architectures to process the drastically increasing amount of data in an efficient, scalable, and fault-tolerant manner.",50,50,13.0,,,,
70,2022,6,,,COMP2119,,,,COMP3360,"Basics of character animation, keyframe animation, motion capture, inverse kinematics, physically based character animation, Basics of physically-based animation, rigid body dynamics, point-based dynamics, hair animation, cloth simulation, facial animation, crowd simulation, mesh-shape editing, performance capture, skinning, data-driven character control, data-driven cloth animation, data-driven facial animation, data-driven skinning.","[1] understand the motivation and principles for character animation, as well as the skills for implementing such techniques; [2] understand the motivation and principles of physical simulation; [3] understand the motivation and techniques for learning character animation and physical simulation, implement solutions to learn from character motion data or physical animation data",50,50,13.0,,,,
71,2022,6,,,COMP3314 or COMP3340; and MATH1853,,,,COMP3361,"Natural language processing (NLP) is the study of human language from a computational perspective. The course will be focusing on machine learning and corpus-based methods and algorithms. We will cover syntactic, semantic and discourse processing models. We will describe the use of these methods and models in applications including syntactic parsing, information extraction, statistical machine translation, dialogue systems, and summarization. This course starts with language models (LMs), which are both front and center in natural language processing (NLP), and then introduces key machine learning (ML) ideas that students should grasp (e.g. feature-based models, log-linear models and then the neural models). We will land on modern generic meaning representation methods (e.g. BERT/GPT-3) and the idea of pretraining / finetuning.","1.       able to understand the motivations and principles for building natural language processing systems; 2.       able to master a set of key machine learning / statistical methods which are widely used in and beyond NLP; 3.       able to implement practical applications of NLP using tools such as NLTK, Pytorch and Dynet",50,50,13.0,,,,
72,2022,6,,,COMP3314,,COMP3359,,COMP3362,"This course allows students to experience a complete AI experimentation and evaluation cycle with a hands-on project.  The course comprises two main components: students first acquire the basic know-how of the state-of-the-art AI technologies, platforms and tools (e.g., TensorFlow, PyTorch, scikit-learn) via example-based modules in a self-paced learning mode.  Students will then identify a creative or practical data-driven application and implement an AI-powered solution for the application as the course project.","1.       understand the basics and general frameworks of the common AI approaches (e.g., search, machine learning, deep learning) for problem solving; 2.       understand the workflow, the capabilities and the limitations of some state-of-the-art AI technologies, platforms and tools for solving data intensive problems with AI approaches; 3.       identify potential AI-oriented tasks in a problem; design and implement AI pipelines properly in solving the corresponding tasks; 4.       carry out AI experimentation with justifiable processes and evaluation; analyze and address potential issues arising from the experimentation",100,,,,,,
73,2022,6,,,MATH1853; and COMP2119,,,,COMP3366,"Quantum computing can perform hard computational tasks that are far beyond the reach of conventional computers. This course will focus on quantum computing and its realization, offering a tour through the most important concepts and the most recent progresses. The course consists of four major parts: basics of quantum computing, quantum algorithms, quantum machine learning, and quantum error correction. The course starts with an introduction to the essential ingredients of quantum circuits. We will get familiar with quantum computing by going through representative quantum algorithms and visiting more advanced topics in quantum machine learning. We will then discuss how to build a quantum computer: various ways of implementing quantum computations and coping with noises will be discussed. Finally, we will conclude the course with an overview of recent progresses and with a perspective on the future of quantum computing. Tutorials will also be offered on quantum programming, where we will design our own quantum algorithms that address practical problems.","[Concepts] Familiar with the quantum circuit model, rules of quantum computation as well as basic elements of quantum computing architecture.; [Problem solving] Able to solve basic problems in quantum computing and quantum error correction, such as evaluating the outcome and the efficiency of an algorithm or determining the distance of a quantum code.; [Algorithm design] Proficient in one quantum programming language.     Able to identify the right quantum algorithm for a specific task.    Able to work as a team in designing a quantum algorithm and presenting the algorithm to the audience.",50,50,3.0,,,,
74,2022,6,,,COMP2119,,,,COMP3516,"This course introduces basic concepts, technologies, and applications of the Internet of Things (IoT), with a focus on data analytics. The course covers a range of enabling techniques in sensing, computing, analytics, learning for IoT and connects them to exciting applications in smart homes, healthcare, security, etc. The lectures cover the pipeline of data generation, data acquisition, data transportation, data analysis and learning, and data applications, with various topics from the fundamentals (e.g., signal processing, statistical analysis, machine learning) to real-world systems. Billions of things are connected today, and this course helps students to understand how IoT will evolve into AIoT (Artificial Intelligence of Things).","1.       Be able to understand the concepts and applications of IoT, and understand the core problems (e.g., networking, sensing) for building IoT systems; 2.       Be able to understand and manage the knowledge of models and principles and compare the performance of key techniques for IoT data analytics.; 3.       Be able to identify and implement practical IoT applications with data analytics techniques",60,40,6.0,,,,
75,2022,6,,,FITE1010 or MATH1853 or MATH2101; and COMP2119 or ELEC2543 or FITE2000,,COMP3323,,FITE3010,"To study some important topics and techniques in big data and data mining. The teaching and learning will focus on the algorithmic and system aspects of these topics. Survey on recent development and progress in selected areas will also be included.The course will study some advanced topics and techniques in big data, with a focus on the algorithmic and system aspects. It will also survey the recent development and progress in selected areas. Topics include: spatial-spatiotemporal data management, textual big data, uncertain data management, indexing, query evaluation and optimization, and data mining.","[Recent Development in Big Data] Able to understand the background and knowledge of some contemporary topics in Big Data; typical topics are spatial big data, spatial networks, textual big data, and uncertain data management.; [Recent Development in Data Mining] Able to understand the background and knowledge of some contemporary topics in data mining, typical topics are association rule mining, clustering, information ranking, data integration.; [Advanced Topics in Database Systems] Able to understand the background and knowledge of some advanced topics in large database systems; typical topics are indexing, query evaluation, and query optimization.; [Application Development] Able to implement some practical application modules based on selected advanced Big Data techniques",50,50,11.0,,,,
76,2022,6,,,FITE1010 or MATH1853 or MATH2101; and COMP2119 or ELEC2543 or FITE2000,,,,FITE3012,"The course covers banking systems, e-payment security, foreign exchange, Internet banking, wireless payments, stored-value cards, micropayments, peer-to-peer payments, electronic and crypto-currencies such as Bitcoin, large-scale B2B payments and the future of money.","[Technical foundation] Acquire a fundamental understanding of crypto-currency and e-payment, including basic principles, technical and business aspects. Identify key components behind the design of crypto-currency and e-payment systems.; [Applications and programming] Design and implement crypto-currency and e-payment systems / applications; and evaluate different designs/solutions for such systems, applications and protocols.; [Cryptocurrency and related issues] Understand the technologies behind different crypto-currencies and different e-payment systems, and related issues such as legal and regulatory requirements; [Limitations and extensions] Follow trends of e-payment and crypto-currencies, understand the impact, limitations, pros and cons of different e-payment and crypto-currencies.",40,60,6.0,,,,
77,2022,6,,,,,,,COMP7310,,,,,,,,,
78,2022,6,,,,,,,COMP7607,,,,,,,,,
