,Question,Answer,Type
0,How do I apply to HKU through JUPAS scheme?,We welcome your application to HKU through the Joint University Programmes Admissions System (JUPAS) if you are a LOCAL applicant applying on the strength of Hong Kong Diploma of Secondary Education (HKDSE). Please check the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,HKDSE
1,What are the common mistakes as a JUPAS applicant?,"Students should not forget that in addition to the overall result, they must meet the minimum University Entrance Requirements (UER) and the additional entryance requirements for individual programmes. For details, please refer to https://www.hku.hk/dse. It should be noted that instead of the actual priority of programme choices, the preferences of applicants are only made known to the institutions in the form of 5 bands (i.e. Band A, B, C, D, E). As long as students meet the admissions requirements of the programmes, they may have the opportunity to be admitted to more than one programmes at the same time. After institutions submit the merit order list results to the JUPAS Office, students will be assigned to the highest-ranked programme according to their priority. Therefore, to avoid missing the chance of being assigned to their preferred programmes, students should not neglect their personal interests when indicating programmes as their Band A choices. Students do not check emails regularly, and incorrectly fill in the contact information in the ""JUPAS"" account (such as incorrect or infrequently used email account, contact number and address). This hinders us from effectively notifying students about interview arrangements or other important messages. As we will distribute information mainly via email and/or SMS, students should ensure that they fill in the correct, complete and commonly used contact methods, and check emails regularly to avoid missing important information.",HKDSE
2,How can I apply to HKU as a HKDSE repeater?,All students who apply to HKU on the basis of HKDSE results must only make their application through JUPAS. Please also refer to the JUPAS website via https://www.jupas.edu.hk/en/ for eligibility and procedures of JUPAS application.,HKDSE
3,What are the minimum university entrance requirements?,"To have your application considered for admission, you MUST FIRST satisfy the University Entrance Requirements. Each applicant shall gain “332233” in four core subjects plus two elective subjects in the HKDSE Examination. In addition to the standard University Entrance Requirements, some of the University's programmes have additional entrance requirements, which vary from programme to programme. For more information about the specific requirements of different programmes, please visit https://www.hku.hk/dse.",HKDSE
4,How is the admission score calculated?,"Starting from the academic year 2020/2021, HKU widely adopted the “Best 5 subjects” or “Best 6 subjects” selection principles for all programmes. It is then not compulsory to take the four core subjects into calculation of the admission scores, which provides a greater flexibility for students to choose their preferred programmes. In addition, HKU adopted a new scoring system by giving bonus points to students achieving Level 5, 5* or 5** in the HKDSE subjects. Under the HKU scoring system, the level to score conversion are as follows: Level 5**: 8.5; Level 5*: 7; Level 5: 5.5; and Level 1 – 4: 1 – 4. Please refer to https://www.hku.hk/dse for more details.",HKDSE
5,"Other than the HKDSE result, what are the factors being considered during the admission process?","In addition to the HKDSE results, students with outstanding achievements in other areas will also be considered.  Students under any of the following schemes may be invited to join our centrally coordinated interview in June, 2022. Interview Performance; Bonus point for 5*/5** in HKDSE; Aptitude Exercise (for BA(AS)); Personal statement (for Education programmes); OLE / SLP",HKDSE
6,Will I be advantaged if I put HKU programmes as Band A choices?,"A: More than 99% of the students newly admitted in the academic year 2021/2022 indicated HKU programmes as Band A choices. If students put HKU programmes as Band A choices, they may have a better chance to be selected for interview or consultation.",HKDSE
7,"If I am a non-Chinese speaking (NCS) student, can I apply to HKU with other qualifications in Chinese language apart from the HKDSE result?","We welcome eligible NCS applicants (both school and non-school) to submit Alternative Qualifications in Chinese Language (ACL), i.e. GCSE / GCE etc. for consideration in lieu of the general Chinese language requirement. If NCS applicants submit more than one ACL and / or have HKDSE Chinese Language result during selection, the best result will be considered. Further information on submissions and verification of ACL is available at the JUPAS website.",HKDSE
8,"Can I use other public examination results such as IB, GCE and IGCSE to fulfill the JUPAS admission requirement?","For JUPAS admission scheme, the University will only consider the HKDSE result of an applicant. Other public examination results will only serve as reference unless exceptional circumstances.",HKDSE
9,How is the score for applicants with more than one sitting in HKDSE examination calculated?,"In general, most of the programmes offered by HKU consider the best results achieved by candidates in different combinations of sittings, except for a few programmes which only consider the latest results. Few programmes may also impose a penalty on HKDSE repeaters. Please refer to https://www.hku.hk/dse for more details.",HKDSE
10,Does HKU provide sports scholarship?,"In June 1995, The University of Hong Kong launched the territory’s first sports scholarship scheme. The Sports Scholarship Scheme offers an alternative admission path to the University for outstanding young athletes. To be eligible for the Sports Scholarship Programme applicants must have (i) satisfied the minimum University entrance requirements for the year of admission, (ii) demonstrated exceptional sporting prowess; and (iii) met the entrance requirements for the particular academic programme of study as specified by and/or modified by the relevant Faculty. For more details, please visit https://www.cse.hku.hk/compsports.asp?pageid=132.",HKDSE
11,Will I be invited for an interview at HKU?,"Admission interview is not compulsory for some of the programmes offered by HKU. Moreover, if you are applying for programmes with interview being arranged, you will be contacted on the interview arrangements through email or phone once shortlisted.",HKDSE
12,How are candidates selected for interviews?,"Normally, Band A applicants will be primarily considered for interview invitation. However, the selection criteria for interview vary from different programmes. You are advised to visit the faculty websites for more details.",HKDSE
13,What is the University’s application deadline?,You may wish to go through the Important Dates when applying to the University. Applications submitted after the first round application deadline will be considered on a rolling basis subject to programme availability.,HKDSE (Non-local)
14,What is the University’s second language requirement?,"Applicants to the University are required to demonstrate proficiency in a language other than English. Chinese is not compulsory as the medium of instruction at the university is English. You may refer to the Admissions Standards on ways to meet this requirement. If you find yourself unable to provide the required examination result to meet this requirement, please apply for a waiver as instructed in the Admissions Standards. Consideration for waivers will take place at the times of evaluation and students whose waivers are not granted may still be required to provide proof of proficiency of the qualification.",HKDSE (Non-local)
15,Where should I submit my application?,All application to the University is submitted online. You may apply through our online application system.,HKDSE (Non-local)
16,How can I apply for a scholarship?,"Once you have successfully submitted an application for admission, you will be considered for an entrance scholarship automatically. The result of both admission and entrance scholarship will be announced at the same time. No separate application for entrance scholarship is required. Selection is based on academic merits with consideration of non-academic achievements. The University will also consider students for special scholarships which might require separate application. You are advised to refer to the details of all the scholarships on our Fees and Scholarships page. After you are admitted to the University, you may apply for other HKU scholarships. You may be awarded a merit-based scholarship based on your work in the University.",HKDSE (Non-local)
17,How much is the tuition fee?,You may refer to our Fees and Scholarships page for the latest information. ,HKDSE (Non-local)
18,What is the University’s application deadline?,You may wish to go through the Important Dates when applying to the University. Applications submitted after the first round application deadline will be considered on a rolling basis subject to programme availability.,International
19,Do I need Chinese to study at the University?,"Chinese is not a must for the admissions. However, some programmes may require knowledge of Cantonese or Chinese language. Please visit our Admissions Standards page for details.",International
20,What is the University’s second language requirement?,"Applicants to the University are required to demonstrate proficiency in a language other than English. Chinese is not compulsory as the medium of instruction at the university is English. You may refer to the Admissions Standards on ways to meet this requirement. If you find yourself unable to provide the required examination result to meet this requirement, please apply for a waiver as instructed in the Admissions Standards. Consideration for waivers will take place at the times of evaluation and students whose waivers are not granted may still be required to provide proof of proficiency of the qualification.",International
21,Where should I submit my application?,All application to the University is submitted online. You may apply through our online application system.,International
22,How can I apply for a scholarship?,"Once you have successfully submitted an application for admission, you will be considered for an entrance scholarship automatically. The result of both admission and entrance scholarship will be announced at the same time. No separate application for entrance scholarship is required. Selection is based on academic merits with consideration of non-academic achievements. The University will also consider students for special scholarships which might require separate application. You are advised to refer to the details of all the scholarships on our Fees and Scholarships page. After you are admitted to the University, you may apply for other HKU scholarships. You may be awarded a merit-based scholarship based on your work in the University.",International
23,What are the requirements to get into the University?,"The University will consider your academic and non-academic achievement during the evaluation process of your application. You can apply to the University based on your performance in an international examination (IB Diploma, GCE A Level, SAT / ACT / AP, etc) or a national examination (Indian Board Examinations, ATAR, Canadian provincial examinations, etc). Please note that some programmes may have specific requirements. You are encouraged to review them for your programme choice(s). You will also need to provide proof of proficiency in English and a second language. Please refer to our Admissions Standards page.",International
24,How much is the tuition fee?,You may refer to our Fees and Scholarships page for the latest information. ,International
25,Do I need Chinese to study at the University?,"Chinese is not a must for the admissions. However, some programmes may require knowledge of Cantonese or Chinese language. Please visit our Admissions Standards page for details.",Bachelor's Degree
26,Can I transfer to the University?,"If you would like to transfer to the University, you shall apply through our “International / Non JUPAS Admissions Scheme” for Year 1 entry.  You should clearly state on the application any courses you have completed for your current bachelor’s degree and indicate that you wish to apply for transfer of credits. After you are admitted, the Faculty will review the courses you have taken at your current institution/university and will consider your request for entry to senior years on a case-by-case basis. Please note that successful completion of one year study on a full-time bachelor’s degree programme at a recognized university with a cGPA of at least 70% of the highest GPA of the institution, or at 3.0, whichever is higher (or its equivalent where a GPA system is not in use) can be used to satisfy the General Academic Requirement. However, you are also required to fulfill the Programme specific requirement (if applicable), English language requirement, Second language requirement. Please find the details on our Admissions Standards page.",Bachelor's Degree
27,Am I eligible to apply for senior-year places?,"Senior-year places are only for current local final year students or graduates of local sub-degrees as below: Final year students of a recognised full-time Associate Degree (AD) or Higher Diploma (HD) programme of at least two years in duration from a community college in Hong Kong; or Graduates of a recognised full-time AD or HD programme of at least two years in duration from a community college in Hong Kong and are not currently enrolling in a bachelor's degree / higher degree programme. Non-final year students of a recognised local full-time AD or HD programme and applicants who have once enrolled in a bachelor's degree / higher degree programme at a tertiary institution and completed one or more year(s) of studies, irrespective of whether the qualifications have been awarded, are NOT eligible for senior-year places and should only apply for first-year programmes through “International Admissions Scheme / Non-JUPAS Admissions Scheme”. For details of eligibility to senior-year places, please visit our Entrance Requirements page.",Hong Kong Sub-degrees (for senior year entry)
28,Do I need to provide any proof on ways to satisfy the University's English and Second language requirements?,Applicants for senior-year places are only required to satisfy the Programme Requirements here. You are not required to provide additional language proficiency proof if you are not interested in admission as a first-year student and have not chosen any first-year programmes in your application. Only applicants who are interested in admission as a first-year student are required to fulfil the language requirements.,Hong Kong Sub-degrees (for senior year entry)
29,Is there any quota of senior-year places?,"There is a fixed quota for senior-year admission of sub-degree applicants. For number of senior places, please refer to our Programme Information here: https://admissions.hku.hk/apply/hong-kong-sub-degrees#program-information",Hong Kong Sub-degrees (for senior year entry)
30,What are the special features in the 6901 BSc programme?,"There are several special features in the 6901 BSc curricula offered by the Faculty – 7 intensive majors, 6 accredited majors, 2 articulation pathways, and a Minor in Science Entrepreneurship, equipping outstanding undergraduate students with skills for versatile developments according to their aspirations, ability and interests. For more information, please click here.",BSc 6901
31,What are the features of 6901 BSc programme?,one programme code with a choice of 14 science Majors and 7 Intensive Majors; complete freedom in choosing any science Major after admission; no quota for each Science Major; easy to change Majors; second Major and Minor options are available in both Science or non-Science disciplines,BSc 6901
32,What are the choices of Science Majors available for the programme?,Biochemistry; Biological Sciences (Intensive); Chemistry / Chemistry (Intensive); Decision Analytics; Earth System Science; Ecology & Biodiversity / Ecology & Biodiversity (Intensive); Environmental Science; Food & Nutritional Science; Geology / Geology (Intensive); Mathematics / Mathematics (Intensive); Molecular Biology & Biotechnology / Molecular Biology & Biotechnology (Intensive); Physics / Physics (Intensive); Risk Management; Statistics,BSc 6901
33,How many and what courses I have to complete for the programme?,"96 credits for 16 courses on Major including 2 Science Foundation Courses and capstone requirement (40%);; 18 credits for 2 English courses and 1 Chinese course for university language requirement (7.5%);; 36 credits for 6 Common Core courses in 4 Areas of Inquiry (15%);; 90 credits for 15 courses available for electives, or courses leading to a Minor or a second Major (37.5%); 144 - 150 credits (24 - 25 courses) on Intensive Major including 2 Science Foundation Courses and capstone requirement;; 18 credits for 2 English courses and 1 Chinese course for university language requirement;; 36 credits for 6 Common Core courses in 4 Areas of Inquiry;; 36 - 42 credits (6 - 7 courses) available for electives, or courses leading to a Minor.",BSc 6901
34,When do I have to declare my Major?,"You are not required to declare your Major in the first year. You may ""shop around"" in your first and second years and make the decision after your second year of study at the latest.",BSc 6901
35,Can I declare a Major in a subject in which I have no background in my secondary school studies?,"Yes, but you may have to study the preparatory courses first to decide whether you can follow the Major.",BSc 6901
36,Is there any quota for each Science Major?,No.  Students are free to choose any science Major after admission.,BSc 6901
37,"If there is no quota, would there be possibilities that some Majors have a large number of students, some not?","Yes, certainly. But first of all, the Faculty did some estimation and believes the number of students in each Major will not fluctuate too widely from that of the past. Secondly, it is also natural for the number of students in different Majors to go up and down according to demand. Thirdly, the market will have a natural mechanism of adjustment.",BSc 6901
38,"If that situation arises, would that degrade the quality of the teaching?",Absolutely not. The Faculty will adjust teaching staff number to cope with changing number of students in a Major.,BSc 6901
39,Do I need to spend extra time if I change Major?,"No, if you can still meet the curriculum requirements within the years of studies. If not, you may have to spend an extra semester or a year, or even longer.",BSc 6901
40,Can I do double major or take Major-Minor in Science or non-Science discipline?,"Yes, in addition to the primary science Major for the BSc degree, you may take a second Major or a Minor in both Science and non-Science (arts, business, social sciences, engineering, etc) disciplines.  About 1/4 of BSc students take one Major and one Minor, and another 1/4 take two Majors.",BSc 6901
41,Do I have one degree or two if I do a second Major in a non-Science discipline? Is it still going to be a BSc one?,"You have only one degree — the BSc, as you are accepted to the Bachelor of Science degree when you are admitted.  The degree always goes with the first Major. But your Majors will be recorded on your transcript.",BSc 6901
42,What happens if I want to do specific double Major but there are time-table clashes?,You have to have a primary Major in Science. The feasibility of the second Major or Minor does depend on timetable. The Faculty cannot make guarantee on feasibility of all combinations.,BSc 6901
43,Is there any quota for a second Major or Minor in other Faculties?,"There is no quota for Science Majors, but for the Majors and Minors offered by other faculties, enrolment of courses may be restricted by quota, timetable clashes or certain requirements. There may be circumstances that you are not able to enroll in some of the popular courses offered by non-science departments, such as business courses.",BSc 6901
44,Can I take advanced level courses in Year 1?,"Yes, subject to the approval of the department that offers the courses.",BSc 6901
45,"If I do the Major-Minor instead of a single Major, will I be less employable by a specialty field? Will the chance of furthering my study in a specialised subject be degraded?","For those who intend to develop a career in a specialised area or further their study (MPhil/PhD), we would recommend them to specialise early on one subject and takes more than the minimum number of core courses required for the specialised subject.",BSc 6901
46,How do companies know how specialised I am in a subject?,The courses you have taken and the Major/Minor will be shown on the transcript.,BSc 6901
47,How do I get advice from the Faculty on course selection?,"We understand that selection of Major or course is a very important decision for students. Our Faculty academic advisers will advise students on the choice of Major, course requirement and possible Major-Minor combination to suit their interests, career aspiration and ability. The Faculty, has also produced a booklet on ""Tips for choosing your Major"".",BSc 6901
48,Are there undergraduate research opportunities?,"Yes, we encourage undergraduate students to engage in research early. Research projects, Summer Research Fellowships, Overseas Research Fellowships and Undergraduate Research Fellowship Programme are available for students.",BSc 6901
49,How do you facilitate students in the 4-year curriculum to take courses across the faculties?,The University has introduced a central timetabling system requiring all undergraduate courses to adopt a standard timetable pattern and all time tables will be assigned centrally.,BSc 6901
50,What are the University entrance requirements and your Faculty entrance requirements?,"English language: Level 3; Chinese language: Level 3; Mathematics: Level 2; Liberal Studies: Level 2; Elective subjects: Level 3 in two subjects, with at least one elective subject in Biology, Chemistry, Physics, Combined Science or Integrated Science",BSc 6901
51,Do I need to put the Programme in Band A choice?,"Over 98% of students admitted in the past years place Science programmes amongst their JUPAS Band A choices. Past experience indicates that the higher the priority you put HKU Science programmes, the greater chance you will be admitted.",BSc 6901
52,How many places are available?,6901: 305 places for the programme; and an additional 85 places for Direct Admissions Scheme. (There is a separate quota for mainland and international students),BSc 6901
53,Do you interview students for admissions?,"Interviews may be arranged for principal nominees and students with outstanding performance in other areas such as extra-curricular activities, sports and leadership.",BSc 6901
54,What are the selection criteria for admssions?,"Science elective subjects*, Mathematics and M1/ M2: each subject will be given a weighting of 2; English Language: will be given a weighting of 1.5",BSc 6901
55,Is extended module 1 or 2 (M1 or M2) of Mathematics counted as an elective subject?,"Yes, M1 or M2 is counted as an elective subject (but not a ""Science elective subject"" as specified in previous question).",BSc 6901
56,What are the admissions scores for 6901 BSc programme in 2021?,"HKDSE: 22 - 36.5 (Best 5 subjects); GCEAL: 2A*, 1A (average admissions score); IB: 38 (average admissions score)",BSc 6901
57,"If I get 5 or above in DSE English, will I be exempted from taking the English courses?","Yes, the first English course will be exempted.",BSc 6901
58,"If I get 5** in DSE Chinese, will I be exempted from taking the Chinese course?",No.,BSc 6901
59,Will HKU Science accept combined HKDSE certificates?,"For 6901 BSc Programme, the best results in years 2021 and 2022 will be considered, with no penalty.",BSc 6901
60,"Other universities are also adopting the common admissions policy, how do they differ from the 6901 BSc programme?","HKU Science is the first university to implement this common admission since 2007;; All the 14 Science Majors and 7 Intensive Majors offered by the Faculty of Science are under this common admissions policy;; There is no quota for any of the 14 Science Majors and 7 Intensive Majors.  Students have complete freedom in choosing any Science Major;; Second Major and Minor are available in both Science and non-Science disciplines.  About 1/4 students take one Major and one Minor, and another 1/4 take two Majors in the BSc degree curriculum each year.",BSc 6901
61,What is Young Scientist Scheme (YSS)?,"Enrolment in our flagship Summer Research Fellowship (SRF) Scheme to conduct research under the supervision of our professors in the first summer; A further SRF or Overseas Research Fellowship (ORF) in a foreign institution in subsequent years; International exchange study, visiting or summer study at world class universities overseas; Attendance in international scientific conference on frontier research Guidance from a research mentor individually from the start of the undergraduate study; Enrolment in our Frontiers of Science Honours Seminar to learn how our award-winning professors solve their research problems; An entrance scholarship ranging from HKD 20,000 to HKD 70,000; Stipends for all the aforesaid research activities",BSc 6901
62,Who is entitled to join YSS?,"have a second chance to enrol in YSS at a later stage; be able to compete for SRF, ORF and/or international exchange during their study",BSc 6901
63,Who is eligible to apply for the scheme?,Candidates who hold a recognised full-time Associate Degree (AD) or Higher Diploma (HD) in community colleges in Hong Kong (at least two years in duration) in a relevant discipline are eligible to apply for direct entry to the third year of the 4-year BSc degree programme.  Students in their second year of study of AD or HD programmes can also apply.  You may also visit the direct admissions scheme website for more information.,BSc 6901
64,How many places are available?,85 places for 2022.,BSc 6901
65,Do you interview students for admissions?,You may be invited to an interview in March.,BSc 6901
66,When will I know my result of application?,"Some conditional offers will be issued to students after the interview.  For those who do not get conditional offers, they will be considered after the announcement of their AD/HD examination results in July.",BSc 6901
67,How many advanced standing credits will I receive?,"The 4-year degree curriculum requires students to complete 240 credits for graduation. Students accepted to the third year of the 4-year BSc degree curriculum under this Scheme would be granted 120 credits of advanced standing including certain core courses of the Major, 24 credits (for AD holder) or 18 credits (for HD holder) of Common Core courses, 6 credits of English language course, 6 credits of Chinese language course and elective courses.",BSc 6901
68,What are the choices of Science Majors if I apply via Direct Admissions Scheme?,Biochemistry; Biological Sciences; Chemistry; Decision Analytics; Earth System Science; Ecology & Biodiversity; Environmental Science; Food & Nutritional Science; Geology; Mathematics; Molecular Biology & Biotechnology; Physics; Risk Management; Statistics,BSc 6901
69,"What are the differences between our BASc programme and other programmes within the BASc family (i.e. BASc in Fintech, AI, Design+ or GHD)?","While other BASc programmes require students to take a series of fixed courses, our BASc programme is more flexible and open-ended. This BASc programme gives you the flexibility to choose what to study across the Arts, Science and Social Sciences faculties to fulfil the core Major in Interdisciplinary Studies. This means you have the freedom to create your own degree based on your passions and ambitions. You will also have 96 credits to use on free electives or to declare another major or minor.",BASc
70,What are majors and minors and what is the difference between them?,"When we say we “declare a major” in a certain discipline or field (available from completing year 1), it means that we are committed to focus our studies on that subject. A major in HKU usually implies taking 12 to 16 courses (72-96 credits) and it is often considered comparable to someone who has completed a specific degree in that field. A minor, in contrast, requires less commitment; it usually means taking 6-8 courses (36-48 credits) only. This would give them more room to declare a double minor or take other free elective courses in other subjects that interest them.",BASc
71,What can I choose for my second major/minors?,"This list is too long to be listed here! You can choose from majors/minors in diverse subjects such as Computer Science, Fine Arts, Business Design and Innovation, Psychology, Food and Nutritional Sciences and many many more. In 2020, there will be 70 majors and 84 minors available for you to choose from, and the number is still expanding. For a full list of major and minor choices see here: http://aao.hku.hk/sy3/plan-of-study/major-and-minor/",BASc
72,What are the differences between BASc and Bachelor of Arts / Bachelor of Social Sciences / Bachelor of Science?,"The BASc programme is jointly offered by the three faculties as our programme gives students the unprecedented opportunity to take courses across the three faculties. Unlike the other, faculty-specific programmes such as BSocSc, BA or BSc, we do not require students to take a particular number of credits or to declare a major within a specific faculty; our students have great flexibility in choosing what they want to study than students in these other programmes. Besides this flexibility, the BASc programme also includes some additional, unique, courses that will train each student to become a world leader. We also offer tailor-made internship experiences that are not typically offered to students on other programmes. Each student will also have personal mentorship with the BASc programme director, who will help them plan for their degree and their future thereafter. Finally, students on our programme will also be able to benefit from a close connection with other BASc family students on other BASc programmes so that they will be able to develop a network of friends from diverse disciplines. You may refer to this page that illustrate the special features of this unique programme in Hong Kong.",BASc
73,"I studied science subjects in high school, and I did not do any arts/ social sciences subjects. Would it be difficult for me to catch up or be disadvantaged in application?","This is a common concern among many students. However, as most university subjects are not offered in secondary school and the majority of students also have little exposure to the subjects they come across, the university curriculum is designed to allow students to start from introductory courses and advance further. In our BASc programme, each student can have access to their mentor and receive personal advice on designing the curriculum path that best fits them, which most current students appreciate.",BASc
74,Do I need to study any particular subject in order to get into BASc?,"There is no particular subject requirement other than those set by the university. However, HKDSE applicants should achieve level 5 or above in English. That said, we do give preference to those placing this programme as their first choice (non-JUPAS applicants) or in Band A (JUPAS applicants).",BASc
75,What is the admission score of the previous intake year?,Please refer to here for the latest information: https://admissions.hku.hk/sites/default/files/2022-03/HKU%20JUPAS%20Admissions%202022_formula%20and%20scores.pdf,BASc
76,Can I participate in the exchange programme offered by the University/ Faculty of Social Sciences?,"Though it is not a compulsory graduation requirement in our programme, you are strongly recommended to join one!",BASc
77,What are the exchange opportunities available to this programme?,"For our BASc programme, there are broadly 3 exchange programmes available to each student. Besides the popular HKU Worldwide Undergraduate Student Exchange Programme (HKUWW) and the more prestigious HKUWW Plus that includes University of Oxford, University of Cambridge, Yale University, amongst others, students in the BASc programme can also participate in different exchange programmes organised by the Faculty of Social Sciences. This innovative arrangement allows you to study overseas for various lengths of time in different top-tier universities! HKU also offers financial subsidies to students who need some extra support whilst they are on their exchange. In the BASc programme, we encourage our students to become global citizens who are exposed to ideas and solutions from across the world, not just here in Hong Kong.",BASc
78,Will there be any fewer opportunities compared to other traditional programmes?,"At HKU, applicants will be competing with all other students within the University/Faculty based on their GPA and interview performance etc., the programme you study generally does not affect this consideration unless the host institution has an explicit preference (say, business school preferring business major students). However, you can also make yourself eligible for these experiences through picking an appropriate second major. So, there is no disadvantage when compared to other traditional programme. In fact, you will benefit from our small class size as we can give you more advice on exchange opportunities.",BASc
79,"I understand that this degree opens me up to many job opportunities as I can choose what to focus on, but will it be difficult to find a job with this general programme?","What ""qualifies you"" for the job you want often has little to do with your degree/major (though it is the entrance ticket for some professions). In recent years, employers are placing more emphasis on one’s interpersonal and communication skills, critical thinking ability as well as adaptivity to deal with novel situations. This is also why universities throughout the world are shifting away from offering fixed curriculums, which usually tend to focus on ‘hard skills’, to becoming more open-ended in their programme structure in a way that incorporates more teamwork and problem-solving opportunities (soft skills). If you have checked with the job advertisements, most multinational and large companies have no requirements on applicants’ disciplinary background in the most thriving positions; some even implicitly exclude applicants trained in specialised programmes as often they can only see things from a narrow point of view. Our BASc degree would allow you to choose the field you want to study while equipping you with ability to handle complex tasks that we will face in the 21st Century.",BASc
80,What advisers are there at the University to help me with studies?,"There are six types of Academic Advisers under the University-wide Academic Advising System who can help you with studies:
1. Faculty Academic Advisers (FAA – teachers at your home Faculty);
2. Faculty Temporary Academic Adviser (TAA – teachers who specialize on helping students to explore major/minor options);
3. Faculty Student Advisers;
4. Residential Student Advisers;
5. Academic Advisers in the Academic Advising Office (AAO); and
6. Administrative staff from Faculty / Department offices. ",AAO
81,How can I find my Faculty Academic Adviser (FAA) in SIS?,"You can check who your FAA is via the web link of https://ugaa.hku.hk/viewugadvisers.php. For enquiries and support, please call us at 39170128.",AAO
82,How should I contact my FAA and what should I do if he/she does not respond?,"You could email your FAA first to make an appointment with him/her. His/her contacts are at https://ugaa.hku.hk/viewugadvisers.php (Portal login required). Sometimes, FAAs reserve “consultation hours” for advisees, please check with them. If your FAA is too busy to get back to you, please try emailing him/her for a few times more and approach your Faculty Office/Department for help if needed.",AAO
83,Can I change my FAA?,"Under normal circumstances, FAA cannot be changed once assigned. However, if you have some very special reasons or concerns, please liaise with your home Faculty Office on this.",AAO
