,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string,overall_rating
0,sudairi,1,courses computer AI,COMP2396B: Object-oriented Programming and Java,3,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP2396A: Object-oriented Programming and Java (CS),3,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP3270A: Artificial Intelligence,5,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP3270B: Artificial Intelligence,5,5,male,course,courses computer AI; ; ,5
0,sudairi,1,courses computer AI,COMP2120A: Computer Organization (CS),3,5,male,course,courses computer AI; ; ,5
1,fee,4,number theory,COMP2121A: Discrete Mathematics (CS),4,0,male,course,number theory; ; math,3
1,fee,4,number theory,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",4,0,male,course,number theory; ; math,3
1,fee,4,number theory,"COMP2121B: Discrete Mathematics (CS, CE, IS)",4,0,male,course,number theory; ; math,3
1,fee,4,number theory,PHYS2155: Methods in physics II,1,0,male,course,number theory; ; math,3
1,fee,4,number theory,PHYS2150: Methods in physics I,1,0,male,course,number theory; ; math,3
2,Max,1,biology,CHEM4444: Chemical biology,4,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL4963: Molecular biology & biotechnology internship,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL3506: Evolutionary biology,5,4,female,course,biology; ; ,4
2,Max,1,biology,BIOL1110: From molecules to cells,5,4,female,course,biology; ; ,4
3,kiki,1,molecular biology,CHEM4444: Chemical biology,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,CHEM4542: Computational chemistry,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOC2600: Basic biochemistry,3,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOL1110: From molecules to cells,5,4,female,course,molecular biology; ; ,5
3,kiki,1,molecular biology,BIOL4963: Molecular biology & biotechnology internship,5,4,female,course,molecular biology; ; ,5
4,1,1,food and nutrition ,BIOL1201: Introduction to food and nutrition,5,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL4209: Functional foods,4,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL3608: Food commodities,5,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL3203: Food microbiology,4,4,female,course,food and nutrition ; ; ,4
4,1,1,food and nutrition ,BIOL4962: Food & nutritional science internship,5,4,female,course,food and nutrition ; ; ,4
5,3,1,atmospheric science,SCNC1112: Fundamentals of modern science,3,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC3415: Meteorology,4,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC2404: Introduction to atmosphere and hydrosphere,4,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,EASC1020: Introduction to climate science,3,3,female,course,atmospheric science; ; ,3
5,3,1,atmospheric science,ENVS1301: Environmental life science,2,3,female,course,atmospheric science; ; ,3
6,4,2,inorganic chemistry,CHEM4341: Advanced inorganic chemistry,5,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM2442: Fundamentals of organic chemistry,1,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM4444: Chemical biology,2,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,"CHEM4142: Symmetry, group theory and applications",2,3,male,course,inorganic chemistry; ; ,4
6,4,2,inorganic chemistry,CHEM4542: Computational chemistry,3,3,male,course,inorganic chemistry; ; ,4
7,5,1,astronomy,SCNC1112: Fundamentals of modern science,3,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS3850: Physical Optics,4,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS4655: Interstellar medium,5,4,male,course,astronomy; ; ,4
7,5,1,astronomy,BIOL4963: Molecular biology & biotechnology internship,2,4,male,course,astronomy; ; ,4
7,5,1,astronomy,PHYS3750: Foundations of laser and spectroscopy,3,4,male,course,astronomy; ; ,4
8,6,1,i desire biology,BIOL4963: Molecular biology & biotechnology internship,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,CHEM4444: Chemical biology,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,SCNC1112: Fundamentals of modern science,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,BIOL1110: From molecules to cells,5,5,female,course,i desire biology; ; ,5
8,6,1,i desire biology,ENVS1301: Environmental life science,4,5,female,course,i desire biology; ; ,5
9,7,2,food toxicology,BIOL3203: Food microbiology,5,5,male,course,food toxicology; ; ,5
9,7,2,food toxicology,CHEM3242: Food and water analysis,4,5,male,course,food toxicology; ; ,5
9,7,2,food toxicology,BIOL1201: Introduction to food and nutrition,4,5,male,course,food toxicology; ; ,5
9,7,2,food toxicology,BIOL4209: Functional foods,5,5,male,course,food toxicology; ; ,5
9,7,2,food toxicology,BIOL3209: Food and nutrient analysis,5,5,male,course,food toxicology; ; ,5
10,8,2,AI,COMP3234B: Computer and Communication Networks (CS),3,5,female,course,CS requirements; ; ,5
10,8,2,AI,COMP3234A: Computer and Communication Networks,3,5,female,course,CS requirements; ; ,5
10,8,2,AI,STAT2604: Introduction to R/Python programming and elementary data analysis,5,5,female,course,CS requirements; ; ,5
10,8,2,AI,COMP2396B: Object-oriented Programming and Java,4,5,female,course,CS requirements; ; ,5
10,8,2,AI,COMP2396A: Object-oriented Programming and Java (CS),4,5,female,course,CS requirements; ; ,5
11,9,1,fintech,ENTR3002: Customer analysis and strategic marketing,3,4,male,course,fintech; ; ,4
11,9,1,fintech,FITE3010: Big Data and Data Mining,4,4,male,course,fintech; ; ,4
11,9,1,fintech,COMP3322A: Modern Technologies on World Wide Web,3,4,male,course,fintech; ; ,4
11,9,1,fintech,COMP3322B: Modern Technologies on World Wide Web,3,4,male,course,fintech; ; ,4
11,9,1,fintech,COMP3297A: Software Engineering (CS),3,4,male,course,fintech; ; ,4
12,10,2,investment,STAT2902: Financial mathematics,4,5,female,course,investment; ; ,4
12,10,2,investment,STAT3615: Practical mathematics for investment,4,5,female,course,investment; ; ,4
12,10,2,investment,ENTR3002: Customer analysis and strategic marketing,3,5,female,course,investment; ; ,4
12,10,2,investment,STAT3618: Derivatives and risk management,4,5,female,course,investment; ; ,4
12,10,2,investment,ENTR3001: Science-based innovation development,3,5,female,course,investment; ; ,4
13,11,1,physics,CHEM4542: Computational chemistry,2,3,male,course,physics; ; ,3
13,11,1,physics,PHYS2155: Methods in physics II,3,3,male,course,physics; ; ,3
13,11,1,physics,PHYS1240: Physics by inquiry,3,3,male,course,physics; ; ,3
13,11,1,physics,PHYS2150: Methods in physics I,3,3,male,course,physics; ; ,3
13,11,1,physics,PHYS3850: Physical Optics,3,3,male,course,physics; ; ,3
14,12,1,statistics and programming like R language and python,COMP3259: Principles of Programming Languages,4,3,female,course,statistics and programming like R language and python; ; ,4
14,12,1,statistics and programming like R language and python,COMP2396B: Object-oriented Programming and Java,4,3,female,course,statistics and programming like R language and python; ; ,4
14,12,1,statistics and programming like R language and python,COMP2396A: Object-oriented Programming and Java (CS),3,3,female,course,statistics and programming like R language and python; ; ,4
14,12,1,statistics and programming like R language and python,STAT2604: Introduction to R/Python programming and elementary data analysis,5,3,female,course,statistics and programming like R language and python; ; ,4
14,12,1,statistics and programming like R language and python,COMP2502: Computing Fundamentals (Minor in DS&E only),3,3,female,course,statistics and programming like R language and python; ; ,4
15,13,1,astronomy and planets. maybe also something related to theoretical physics,PHYS4655: Interstellar medium,4,3,female,course,astronomy and planets. maybe also something related to theoretical physics; ; ,4
15,13,1,astronomy and planets. maybe also something related to theoretical physics,PHYS1240: Physics by inquiry,4,3,female,course,astronomy and planets. maybe also something related to theoretical physics; ; ,4
15,13,1,astronomy and planets. maybe also something related to theoretical physics,SCNC1112: Fundamentals of modern science,4,3,female,course,astronomy and planets. maybe also something related to theoretical physics; ; ,4
15,13,1,astronomy and planets. maybe also something related to theoretical physics,"CHEM4142: Symmetry, group theory and applications",2,3,female,course,astronomy and planets. maybe also something related to theoretical physics; ; ,4
15,13,1,astronomy and planets. maybe also something related to theoretical physics,PHYS2155: Methods in physics II,4,3,female,course,astronomy and planets. maybe also something related to theoretical physics; ; ,4
16,14,1,"java and object oriented programming, software engineering",COMP2396B: Object-oriented Programming and Java,5,5,female,course,"java and object oriented programming, software engineering; ; ",5
16,14,1,"java and object oriented programming, software engineering",COMP2396A: Object-oriented Programming and Java (CS),5,5,female,course,"java and object oriented programming, software engineering; ; ",5
16,14,1,"java and object oriented programming, software engineering",COMP3297A: Software Engineering (CS),5,5,female,course,"java and object oriented programming, software engineering; ; ",5
16,14,1,"java and object oriented programming, software engineering","COMP3297B: Software Engineering (CE, IS, 2nd Major)",5,5,female,course,"java and object oriented programming, software engineering; ; ",5
16,14,1,"java and object oriented programming, software engineering",COMP3330: Interactive Mobile Application Design and Programming,5,5,female,course,"java and object oriented programming, software engineering; ; ",5
17,15,1,"astronomy, quantum physics, and probability",COMP3366: Quantum Algorithms and Computer Architecture,5,4,male,course,"astronomy, quantum physics, and probability; ; ",5
17,15,1,"astronomy, quantum physics, and probability",CHEM4542: Computational chemistry,3,4,male,course,"astronomy, quantum physics, and probability; ; ",5
17,15,1,"astronomy, quantum physics, and probability",PHYS2155: Methods in physics II,5,4,male,course,"astronomy, quantum physics, and probability; ; ",5
17,15,1,"astronomy, quantum physics, and probability",PHYS3850: Physical Optics,5,4,male,course,"astronomy, quantum physics, and probability; ; ",5
17,15,1,"astronomy, quantum physics, and probability","CHEM4142: Symmetry, group theory and applications",5,4,male,course,"astronomy, quantum physics, and probability; ; ",5
18,16,1,food nutrition and health,BIOL1201: Introduction to food and nutrition,5,4,female,course,food nutrition and health; ; ,5
18,16,1,food nutrition and health,BIOL4209: Functional foods,5,4,female,course,food nutrition and health; ; ,5
18,16,1,food nutrition and health,BIOL3608: Food commodities,4,4,female,course,food nutrition and health; ; ,5
18,16,1,food nutrition and health,BIOL4962: Food & nutritional science internship,4,4,female,course,food nutrition and health; ; ,5
18,16,1,food nutrition and health,BIOL3203: Food microbiology,4,4,female,course,food nutrition and health; ; ,5
19,17,1,i want to know more about courses that are related to math and statistic,MATH1009: Basic mathematics for business and economics,4,4,female,course,i want to know more about courses that are related to math and statistic; ; ,4
19,17,1,i want to know more about courses that are related to math and statistic,STAT4767: Actuarial science internship,4,4,female,course,i want to know more about courses that are related to math and statistic; ; ,4
19,17,1,i want to know more about courses that are related to math and statistic,PHYS1240: Physics by inquiry,2,4,female,course,i want to know more about courses that are related to math and statistic; ; ,4
19,17,1,i want to know more about courses that are related to math and statistic,BIOL4962: Food & nutritional science internship,2,4,female,course,i want to know more about courses that are related to math and statistic; ; ,4
19,17,1,i want to know more about courses that are related to math and statistic,MATH3999: Directed studies in mathematics,4,4,female,course,i want to know more about courses that are related to math and statistic; ; ,4
20,19,2,physic heat,STAT4767: Actuarial science internship,1,3,female,course,course; ; ,3
20,19,2,physic heat,MATH3999: Directed studies in mathematics,2,3,female,course,course; ; ,3
20,19,2,physic heat,CHEM3999: Directed studies in chemistry,3,3,female,course,course; ; ,3
20,19,2,physic heat,PHYS1240: Physics by inquiry,4,3,female,course,course; ; ,3
20,19,2,physic heat,ENVS3999: Directed studies in environmental science,2,3,female,course,course; ; ,3
21,24,2,anatomy and pathology,STAT4767: Actuarial science internship,1,4,male,course,course; ; ,2
21,24,2,anatomy and pathology,MATH3999: Directed studies in mathematics,1,4,male,course,course; ; ,2
21,24,2,anatomy and pathology,CHEM3999: Directed studies in chemistry,2,4,male,course,course; ; ,2
21,24,2,anatomy and pathology,PHYS1240: Physics by inquiry,2,4,male,course,course; ; ,2
21,24,2,anatomy and pathology,ENVS3999: Directed studies in environmental science,2,4,male,course,course; ; ,2
22,27,1,deep learning,PHYS3151: Machine learning in physics,3,2,female,course,deep learning; ; ,3
22,27,1,deep learning,BIOL4861: Ecology & biodiversity internship,2,2,female,course,deep learning; ; ,3
22,27,1,deep learning,EASC1401: Blue Planet,1,2,female,course,deep learning; ; ,3
22,27,1,deep learning,ENTR2001: Professional and leadership development,1,2,female,course,deep learning; ; ,3
22,27,1,deep learning,EASC4966: Earth sciences internship,1,2,female,course,deep learning; ; ,3
23,28,1,physics like biology and homeopathy,CHEM4444: Chemical biology,3,2,female,course,physics like biology and homeopathy; ; ,3
23,28,1,physics like biology and homeopathy,SCNC1112: Fundamentals of modern science,4,2,female,course,physics like biology and homeopathy; ; ,3
23,28,1,physics like biology and homeopathy,CHEM4542: Computational chemistry,3,2,female,course,physics like biology and homeopathy; ; ,3
23,28,1,physics like biology and homeopathy,BIOC4613: Advanced techniques in biochemistry & molecular biology,5,2,female,course,physics like biology and homeopathy; ; ,3
23,28,1,physics like biology and homeopathy,BIOL3506: Evolutionary biology,3,2,female,course,physics like biology and homeopathy; ; ,3
24,29,1,biology,CHEM4444: Chemical biology,4,4,male,course,biology; ; ,4
24,29,1,biology,BIOL4963: Molecular biology & biotechnology internship,4,4,male,course,biology; ; ,4
24,29,1,biology,BIOC4613: Advanced techniques in biochemistry & molecular biology,4,4,male,course,biology; ; ,4
24,29,1,biology,BIOL3506: Evolutionary biology,4,4,male,course,biology; ; ,4
24,29,1,biology,BIOL1110: From molecules to cells,4,4,male,course,biology; ; ,4
25,31,1,molecular biology,CHEM4444: Chemical biology,2,3,female,course,molecular biology; ; ,3
25,31,1,molecular biology,CHEM4542: Computational chemistry,2,3,female,course,molecular biology; ; ,3
25,31,1,molecular biology,BIOC2600: Basic biochemistry,3,3,female,course,molecular biology; ; ,3
25,31,1,molecular biology,BIOL1110: From molecules to cells,5,3,female,course,molecular biology; ; ,3
25,31,1,molecular biology,BIOL4963: Molecular biology & biotechnology internship,5,3,female,course,molecular biology; ; ,3
26,32,1,ecology,BIOL3303: Conservation biology,4,4,male,course,ecology; ; ,4
26,32,1,ecology,ENVS1301: Environmental life science,4,4,male,course,ecology; ; ,4
26,32,1,ecology,BIOL3109: Environmental and molecular ecology,4,4,male,course,ecology; ; ,4
26,32,1,ecology,BIOL4861: Ecology & biodiversity internship,3,4,male,course,ecology; ; ,4
26,32,1,ecology,ENVS3020: Global change ecology,5,4,male,course,ecology; ; ,4
27,33,1,I am interested in Environmental Science.,ENVS1301: Environmental life science,5,3,female,course,I am interested in Environmental Science.; ; ,4
27,33,1,I am interested in Environmental Science.,SCNC1112: Fundamentals of modern science,3,3,female,course,I am interested in Environmental Science.; ; ,4
27,33,1,I am interested in Environmental Science.,BIOL3994: Directed studies in biological sciences,3,3,female,course,I am interested in Environmental Science.; ; ,4
27,33,1,I am interested in Environmental Science.,BIOL3303: Conservation biology,4,3,female,course,I am interested in Environmental Science.; ; ,4
27,33,1,I am interested in Environmental Science.,BIOL4861: Ecology & biodiversity internship,5,3,female,course,I am interested in Environmental Science.; ; ,4
28,35,1,"hey dumb ass, i want to study statistical modeling",COMP2121A: Discrete Mathematics (CS),2,2,male,course,"hey dumb ass, i want to study statistical modeling; ; ",3
28,35,1,"hey dumb ass, i want to study statistical modeling","COMP2121B: Discrete Mathematics (CS, CE, IS)",2,2,male,course,"hey dumb ass, i want to study statistical modeling; ; ",3
28,35,1,"hey dumb ass, i want to study statistical modeling","COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2,2,male,course,"hey dumb ass, i want to study statistical modeling; ; ",3
28,35,1,"hey dumb ass, i want to study statistical modeling",STAT3622: Data visualization,4,2,male,course,"hey dumb ass, i want to study statistical modeling; ; ",3
28,35,1,"hey dumb ass, i want to study statistical modeling",APAI3021: Modern biostatistics,4,2,male,course,"hey dumb ass, i want to study statistical modeling; ; ",3
29,36,1,"fuck you idiot, give me some python programming course",COMP2396B: Object-oriented Programming and Java,4,4,male,course,"fuck you idiot, give me some python programming course; ; ",4
29,36,1,"fuck you idiot, give me some python programming course",COMP2396A: Object-oriented Programming and Java (CS),4,4,male,course,"fuck you idiot, give me some python programming course; ; ",4
29,36,1,"fuck you idiot, give me some python programming course",COMP3259: Principles of Programming Languages,5,4,male,course,"fuck you idiot, give me some python programming course; ; ",4
29,36,1,"fuck you idiot, give me some python programming course",COMP3329: Computer Game Design and Programming,3,4,male,course,"fuck you idiot, give me some python programming course; ; ",4
29,36,1,"fuck you idiot, give me some python programming course","COMP2120B: Computer Organization (IS, 2nd Major)",4,4,male,course,"fuck you idiot, give me some python programming course; ; ",4
30,37,1,statistics and programming like R language and python,COMP3259: Principles of Programming Languages,4,5,female,course,statistics and programming like R language and python; ; ,5
30,37,1,statistics and programming like R language and python,COMP2396B: Object-oriented Programming and Java,5,5,female,course,statistics and programming like R language and python; ; ,5
30,37,1,statistics and programming like R language and python,COMP2396A: Object-oriented Programming and Java (CS),5,5,female,course,statistics and programming like R language and python; ; ,5
30,37,1,statistics and programming like R language and python,STAT2604: Introduction to R/Python programming and elementary data analysis,5,5,female,course,statistics and programming like R language and python; ; ,5
30,37,1,statistics and programming like R language and python,COMP2502: Computing Fundamentals (Minor in DS&E only),4,5,female,course,statistics and programming like R language and python; ; ,5
31,38,1,linear algebra,MATH7502: Topics in applied discrete mathematics,3,2,male,course,linear algebra; ; ,3
31,38,1,linear algebra,MATH1009: Basic mathematics for business and economics,1,2,male,course,linear algebra; ; ,3
31,38,1,linear algebra,COMP2121A: Discrete Mathematics (CS),2,2,male,course,linear algebra; ; ,3
31,38,1,linear algebra,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",2,2,male,course,linear algebra; ; ,3
31,38,1,linear algebra,"COMP2121B: Discrete Mathematics (CS, CE, IS)",2,2,male,course,linear algebra; ; ,3
32,39,1,"i love earth science related stuff, can you recommend me some course?",PHYS1055: How things work,1,2,male,course,"i love earth science related stuff, can you recommend me some course?; ; ",3
32,39,1,"i love earth science related stuff, can you recommend me some course?",SCNC1112: Fundamentals of modern science,4,2,male,course,"i love earth science related stuff, can you recommend me some course?; ; ",3
32,39,1,"i love earth science related stuff, can you recommend me some course?",EASC1401: Blue Planet,5,2,male,course,"i love earth science related stuff, can you recommend me some course?; ; ",3
32,39,1,"i love earth science related stuff, can you recommend me some course?",ENVS1301: Environmental life science,5,2,male,course,"i love earth science related stuff, can you recommend me some course?; ; ",3
32,39,1,"i love earth science related stuff, can you recommend me some course?",PHYS1240: Physics by inquiry,1,2,male,course,"i love earth science related stuff, can you recommend me some course?; ; ",3
33,40,1,optimization and gradient descent. i also want to learn about differential calculus.,PHYS2150: Methods in physics I,2,3,female,course,optimization and gradient descent. i also want to learn about differential calculus.; ; ,4
33,40,1,optimization and gradient descent. i also want to learn about differential calculus.,MATH3904: Introduction to optimization,5,3,female,course,optimization and gradient descent. i also want to learn about differential calculus.; ; ,4
33,40,1,optimization and gradient descent. i also want to learn about differential calculus.,MATH3901: Operations research I,4,3,female,course,optimization and gradient descent. i also want to learn about differential calculus.; ; ,4
33,40,1,optimization and gradient descent. i also want to learn about differential calculus.,PHYS2155: Methods in physics II,4,3,female,course,optimization and gradient descent. i also want to learn about differential calculus.; ; ,4
33,40,1,optimization and gradient descent. i also want to learn about differential calculus.,STAT4608: Market risk analysis,3,3,female,course,optimization and gradient descent. i also want to learn about differential calculus.; ; ,4
34,41,1,"hydrogeology, mineralogy",EASC2409: Regional field studies,4,3,male,course,"hydrogeology, mineralogy; ; ",4
34,41,1,"hydrogeology, mineralogy",EASC3410: Hydrogeology,5,3,male,course,"hydrogeology, mineralogy; ; ",4
34,41,1,"hydrogeology, mineralogy",EASC1403: Geological heritage of Hong Kong,5,3,male,course,"hydrogeology, mineralogy; ; ",4
34,41,1,"hydrogeology, mineralogy",BIOL3109: Environmental and molecular ecology,5,3,male,course,"hydrogeology, mineralogy; ; ",4
34,41,1,"hydrogeology, mineralogy",BIOL3508: Microbial physiology and biotechnology,3,3,male,course,"hydrogeology, mineralogy; ; ",4
35,42,1,"financial time series modeling, stochastic calculus?",STAT3615: Practical mathematics for investment,5,4,male,course,"financial time series modeling, stochastic calculus?; ; ",4
35,42,1,"financial time series modeling, stochastic calculus?",STAT2902: Financial mathematics,5,4,male,course,"financial time series modeling, stochastic calculus?; ; ",4
35,42,1,"financial time series modeling, stochastic calculus?",PHYS2155: Methods in physics II,2,4,male,course,"financial time series modeling, stochastic calculus?; ; ",4
35,42,1,"financial time series modeling, stochastic calculus?",PHYS2150: Methods in physics I,2,4,male,course,"financial time series modeling, stochastic calculus?; ; ",4
35,42,1,"financial time series modeling, stochastic calculus?",COMP2121A: Discrete Mathematics (CS),3,4,male,course,"financial time series modeling, stochastic calculus?; ; ",4
36,43,1,i want to work in the environment industry. I like studying rocks and the earth.,EASC1401: Blue Planet,5,5,female,course,i want to work in the environment industry. I like studying rocks and the earth.; ; ,5
36,43,1,i want to work in the environment industry. I like studying rocks and the earth.,ENVS1301: Environmental life science,5,5,female,course,i want to work in the environment industry. I like studying rocks and the earth.; ; ,5
36,43,1,i want to work in the environment industry. I like studying rocks and the earth.,EASC2404: Introduction to atmosphere and hydrosphere,5,5,female,course,i want to work in the environment industry. I like studying rocks and the earth.; ; ,5
36,43,1,i want to work in the environment industry. I like studying rocks and the earth.,ENVS1401: Introduction to environmental science,5,5,female,course,i want to work in the environment industry. I like studying rocks and the earth.; ; ,5
36,43,1,i want to work in the environment industry. I like studying rocks and the earth.,ENVS3028: Coastal Sustainability,5,5,female,course,i want to work in the environment industry. I like studying rocks and the earth.; ; ,5
37,44,1,i want to learn about decision theory.,MATH3600: Discrete mathematics,5,3,female,course,i want to learn about decision theory.; ; ,3
37,44,1,i want to learn about decision theory.,MATH3999: Directed studies in mathematics,5,3,female,course,i want to learn about decision theory.; ; ,3
37,44,1,i want to learn about decision theory.,ENVS1301: Environmental life science,1,3,female,course,i want to learn about decision theory.; ; ,3
37,44,1,i want to learn about decision theory.,PHYS1240: Physics by inquiry,2,3,female,course,i want to learn about decision theory.; ; ,3
37,44,1,i want to learn about decision theory.,MATH2012: Fundamental concepts of mathematics,4,3,female,course,i want to learn about decision theory.; ; ,3
38,45,1,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,ENVS1301: Environmental life science,2,2,male,course,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?; ; ,2
38,45,1,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL4963: Molecular biology & biotechnology internship,4,2,male,course,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?; ; ,2
38,45,1,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL1110: From molecules to cells,5,2,male,course,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?; ; ,2
38,45,1,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL3994: Directed studies in biological sciences,5,2,male,course,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?; ; ,2
38,45,1,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?,BIOL4964: Biological sciences internship,5,2,male,course,I am majoring in biology. I want to learn something related to human health and disease. Any recommendation?; ; ,2
39,46,1,Maybe on natural disasters and how to prevent them,ENVS3020: Global change ecology,4,4,female,course,Maybe on natural disasters and how to prevent them; ; ,4
39,46,1,Maybe on natural disasters and how to prevent them,ENVS1401: Introduction to environmental science,4,4,female,course,Maybe on natural disasters and how to prevent them; ; ,4
39,46,1,Maybe on natural disasters and how to prevent them,BIOL3303: Conservation biology,5,4,female,course,Maybe on natural disasters and how to prevent them; ; ,4
39,46,1,Maybe on natural disasters and how to prevent them,EASC1020: Introduction to climate science,4,4,female,course,Maybe on natural disasters and how to prevent them; ; ,4
39,46,1,Maybe on natural disasters and how to prevent them,EASC1401: Blue Planet,4,4,female,course,Maybe on natural disasters and how to prevent them; ; ,4
40,47,1,matlab programming and calculation heavy,COMP2396A: Object-oriented Programming and Java (CS),1,1,male,course,matlab programming and calculation heavy; ; ,2
