,user_email,user_level_index,user_query,result,rating,precision_count,chatbox_sex,recommender_rec_type,actual_string,overall_rating
76,84,1,Biology courses with laboratory session.,CHEM4444: Chemical biology,3,2,male,course,Biology courses with laboratory session.; ; ,3
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","COMP1117A: Computer Programming (ActSc, AppAI, DA, IS, Minor & 2nd Major)",1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1650: Nature of the universe,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1240: Physics by inquiry,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?",PHYS1150: Problem solving in physics,1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
77,85,1,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?","PHYS1056: Weather, climate and climate change",1,0,female,course,"I am majoring in biological science. I want to have some working experience in this field, which course should I take?; ; ",1
78,86,1,Fundamentals science and fundamentals chemistry courses,MATH1009: Basic mathematics for business and economics,1,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,SCNC1112: Fundamentals of modern science,5,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,PHYS1240: Physics by inquiry,1,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,ENVS1301: Environmental life science,2,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
78,86,1,Fundamentals science and fundamentals chemistry courses,CHEM2442: Fundamentals of organic chemistry,5,2,female,course,Fundamentals science and fundamentals chemistry courses; ; ,5
79,87,1,environmental chemistry,ENVS1301: Environmental life science,2,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM4444: Chemical biology,3,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM2442: Fundamentals of organic chemistry,3,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,BIOL3109: Environmental and molecular ecology,4,2,female,course,environmental chemistry; ; ,3
79,87,1,environmental chemistry,CHEM4341: Advanced inorganic chemistry,3,2,female,course,environmental chemistry; ; ,3
80,88,2,Computational chemistry,PHYS3151: Machine learning in physics,1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,BIOL4963: Molecular biology & biotechnology internship,1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,"COMP2120B: Computer Organization (IS, 2nd Major)",1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,COMP2120A: Computer Organization (CS),1,0,female,course,learn chemistry with computer; ; ,1
80,88,2,Computational chemistry,CHEM4444: Chemical biology,3,0,female,course,learn chemistry with computer; ; ,1
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,ENTR2001: Professional and leadership development,1,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,STAT4609: Big data analytics,3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,PHYS3151: Machine learning in physics,1,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,COMP2396B: Object-oriented Programming and Java,3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
81,89,1,I want to learn some programming skills for my Decision Analytics degree.,COMP2396A: Object-oriented Programming and Java (CS),3,3,female,course,I want to learn some programming skills for my Decision Analytics degree.; ; ,4
82,90,1,courses related to computer graphic and data visualization,STAT3622: Data visualization,5,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,STAT2604: Introduction to R/Python programming and elementary data analysis,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,FITE3010: Big Data and Data Mining,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,STAT4609: Big data analytics,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
82,90,1,courses related to computer graphic and data visualization,COMP3314C: Machine Learning,3,5,male,course,courses related to computer graphic and data visualization; ; ,5
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,ENVS2001: Methods in environmental science,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,FITE3010: Big Data and Data Mining,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,BIOL4964: Biological sciences internship,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,ENVS4999: Environmental science project,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
83,91,1,Earth system science major student want to take courses related to data analysis and modeling,STAT4609: Big data analytics,1,0,male,course,Earth system science major student want to take courses related to data analysis and modeling; ; ,2
84,92,1,atmosphere,EASC2404: Introduction to atmosphere and hydrosphere,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,EASC1401: Blue Planet,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,PHYS4655: Interstellar medium,1,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,EASC1020: Introduction to climate science,5,4,female,course,atmosphere; ; ,4
84,92,1,atmosphere,ENVS3313: Environmental oceanography,3,4,female,course,atmosphere; ; ,4
85,93,1,interested in biodiversity and animals,BIOL3303: Conservation biology,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,ENVS1301: Environmental life science,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,BIOL4861: Ecology & biodiversity internship,5,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,ENVS3020: Global change ecology,3,1,female,course,interested in biodiversity and animals; ; ,3
85,93,1,interested in biodiversity and animals,BIOL3109: Environmental and molecular ecology,3,1,female,course,interested in biodiversity and animals; ; ,3
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC1401: Blue Planet,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",CHEM4341: Advanced inorganic chemistry,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1401: Introduction to environmental science,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",ENVS1301: Environmental life science,1,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
86,94,1,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.",EASC2404: Introduction to atmosphere and hydrosphere,2,1,female,course,"i want to learn about minerals and natural resources, also quite interested in rocks and the chemistry behind.; ; ",1
87,95,1,I want to learn environmental toxicology and protection.,ENVS1301: Environmental life science,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
87,95,1,I want to learn environmental toxicology and protection.,BIOL3303: Conservation biology,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
87,95,1,I want to learn environmental toxicology and protection.,ENVS1401: Introduction to environmental science,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
87,95,1,I want to learn environmental toxicology and protection.,CHEM3242: Food and water analysis,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
87,95,1,I want to learn environmental toxicology and protection.,BIOL4861: Ecology & biodiversity internship,1,0,male,course,I want to learn environmental toxicology and protection.; ; ,1
88,96,1,"climate change, air pollution, ecology",ENVS3020: Global change ecology,5,4,male,course,"climate change, air pollution, ecology; ; ",4
88,96,1,"climate change, air pollution, ecology",EASC1020: Introduction to climate science,5,4,male,course,"climate change, air pollution, ecology; ; ",4
88,96,1,"climate change, air pollution, ecology",ENVS1301: Environmental life science,3,4,male,course,"climate change, air pollution, ecology; ; ",4
88,96,1,"climate change, air pollution, ecology",BIOL3303: Conservation biology,5,4,male,course,"climate change, air pollution, ecology; ; ",4
88,96,1,"climate change, air pollution, ecology",ENVS3313: Environmental oceanography,5,4,male,course,"climate change, air pollution, ecology; ; ",4
89,97,1,learn about living organisms and the environment,ENVS1301: Environmental life science,5,3,female,course,learn about living organisms and the environment; ; ,4
89,97,1,learn about living organisms and the environment,BIOL3508: Microbial physiology and biotechnology,2,3,female,course,learn about living organisms and the environment; ; ,4
89,97,1,learn about living organisms and the environment,BIOL3109: Environmental and molecular ecology,4,3,female,course,learn about living organisms and the environment; ; ,4
89,97,1,learn about living organisms and the environment,ENVS3020: Global change ecology,5,3,female,course,learn about living organisms and the environment; ; ,4
89,97,1,learn about living organisms and the environment,EASC1401: Blue Planet,4,3,female,course,learn about living organisms and the environment; ; ,4
90,98,1,"carbohydrates, protein , fat, how do they affect the body?",BIOL2220: Principles of biochemistry,3,3,female,course,"carbohydrates, protein , fat, how do they affect the body?; ; ",4
90,98,1,"carbohydrates, protein , fat, how do they affect the body?",BIOC2600: Basic biochemistry,3,3,female,course,"carbohydrates, protein , fat, how do they affect the body?; ; ",4
90,98,1,"carbohydrates, protein , fat, how do they affect the body?",BIOL1110: From molecules to cells,3,3,female,course,"carbohydrates, protein , fat, how do they affect the body?; ; ",4
90,98,1,"carbohydrates, protein , fat, how do they affect the body?",BIOL4416: Stem cells and regenerative biology,2,3,female,course,"carbohydrates, protein , fat, how do they affect the body?; ; ",4
90,98,1,"carbohydrates, protein , fat, how do they affect the body?",BIOL4209: Functional foods,5,3,female,course,"carbohydrates, protein , fat, how do they affect the body?; ; ",4
91,99,1,"quality control over food, waste management",CHEM3242: Food and water analysis,5,5,female,course,"quality control over food, waste management; ; ",5
91,99,1,"quality control over food, waste management",BIOL4205: Food technology,3,5,female,course,"quality control over food, waste management; ; ",5
91,99,1,"quality control over food, waste management",BIOL1201: Introduction to food and nutrition,3,5,female,course,"quality control over food, waste management; ; ",5
91,99,1,"quality control over food, waste management",BIOL3608: Food commodities,4,5,female,course,"quality control over food, waste management; ; ",5
91,99,1,"quality control over food, waste management",BIOL3203: Food microbiology,3,5,female,course,"quality control over food, waste management; ; ",5
92,100,1,physiology,BIOL1110: From molecules to cells,4,3,female,course,physiology; ; ,4
92,100,1,physiology,BIOL3508: Microbial physiology and biotechnology,5,3,female,course,physiology; ; ,4
92,100,1,physiology,BIOC2600: Basic biochemistry,3,3,female,course,physiology; ; ,4
92,100,1,physiology,CHEM4444: Chemical biology,3,3,female,course,physiology; ; ,4
92,100,1,physiology,BIOL3506: Evolutionary biology,2,3,female,course,physiology; ; ,4
93,101,1,I want to make biotechnological applications,BIOL4415: Healthcare biotechnology,3,3,male,course,I want to make biotechnological applications; ; ,4
93,101,1,I want to make biotechnological applications,ENTR3001: Science-based innovation development,5,3,male,course,I want to make biotechnological applications; ; ,4
93,101,1,I want to make biotechnological applications,BIOL3508: Microbial physiology and biotechnology,5,3,male,course,I want to make biotechnological applications; ; ,4
93,101,1,I want to make biotechnological applications,BIOL4205: Food technology,2,3,male,course,I want to make biotechnological applications; ; ,4
93,101,1,I want to make biotechnological applications,ENTR3002: Customer analysis and strategic marketing,4,3,male,course,I want to make biotechnological applications; ; ,4
94,102,1,want to be a quantitative analyst,EASC4999: Earth sciences project,1,0,female,course,want to be a quantitative analyst; ; ,1
94,102,1,want to be a quantitative analyst,ENTR3002: Customer analysis and strategic marketing,1,0,female,course,want to be a quantitative analyst; ; ,1
94,102,1,want to be a quantitative analyst,CHEM4242: Analytical chemistry,1,0,female,course,want to be a quantitative analyst; ; ,1
94,102,1,want to be a quantitative analyst,BIOL3209: Food and nutrient analysis,1,0,female,course,want to be a quantitative analyst; ; ,1
94,102,1,want to be a quantitative analyst,EASC3999: Directed studies in earth sciences,1,0,female,course,want to be a quantitative analyst; ; ,1
95,103,1,time series analysis,STAT3617: Sample survey methods,1,0,female,course,time series analysis; ; ,1
95,103,1,time series analysis,APAI3021: Modern biostatistics,1,0,female,course,time series analysis; ; ,1
95,103,1,time series analysis,STAT3021: Modern biostatistics,1,0,female,course,time series analysis; ; ,1
95,103,1,time series analysis,STAT4609: Big data analytics,2,0,female,course,time series analysis; ; ,1
95,103,1,time series analysis,STAT2604: Introduction to R/Python programming and elementary data analysis,3,0,female,course,time series analysis; ; ,1
96,104,1,credit analyst ,STAT4903: Actuarial techniques for general insurance,2,3,male,course,credit analyst ; ; ,4
96,104,1,credit analyst ,STAT3618: Derivatives and risk management,5,3,male,course,credit analyst ; ; ,4
96,104,1,credit analyst ,STAT3615: Practical mathematics for investment,5,3,male,course,credit analyst ; ; ,4
96,104,1,credit analyst ,STAT2902: Financial mathematics,2,3,male,course,credit analyst ; ; ,4
96,104,1,credit analyst ,STAT4603: Current topics in risk management,3,3,male,course,credit analyst ; ; ,4
97,106,1,I want to learn fundamental physics,PHYS1240: Physics by inquiry,4,3,female,course,I want to learn fundamental physics; ; ,5
97,106,1,I want to learn fundamental physics,SCNC1112: Fundamentals of modern science,5,3,female,course,I want to learn fundamental physics; ; ,5
97,106,1,I want to learn fundamental physics,ENVS1301: Environmental life science,1,3,female,course,I want to learn fundamental physics; ; ,5
97,106,1,I want to learn fundamental physics,PHYS2150: Methods in physics I,5,3,female,course,I want to learn fundamental physics; ; ,5
97,106,1,I want to learn fundamental physics,MATH3541: Introduction to topology,3,3,female,course,I want to learn fundamental physics; ; ,5
98,107,1,I want to do physics research and project,EASC4999: Earth sciences project,1,0,female,course,I want to do physics research and project; ; ,1
98,107,1,I want to do physics research and project,CHEM4910: Chemistry literacy and research,1,0,female,course,I want to do physics research and project; ; ,1
98,107,1,I want to do physics research and project,ENVS4999: Environmental science project,1,0,female,course,I want to do physics research and project; ; ,1
98,107,1,I want to do physics research and project,CHEM4999: Chemistry project,1,0,female,course,I want to do physics research and project; ; ,1
98,107,1,I want to do physics research and project,SCNC1112: Fundamentals of modern science,2,0,female,course,I want to do physics research and project; ; ,1
99,108,1,knowledge of statistics,STAT4609: Big data analytics,4,3,male,course,knowledge of statistics; ; ,3
99,108,1,knowledge of statistics,APAI3021: Modern biostatistics,3,3,male,course,knowledge of statistics; ; ,3
99,108,1,knowledge of statistics,STAT3021: Modern biostatistics,3,3,male,course,knowledge of statistics; ; ,3
99,108,1,knowledge of statistics,STAT4798: Statistics and actuarial science project,4,3,male,course,knowledge of statistics; ; ,3
99,108,1,knowledge of statistics,FITE3010: Big Data and Data Mining,2,3,male,course,knowledge of statistics; ; ,3
100,109,1,I want to learn applied statistical concepts and models,APAI3021: Modern biostatistics,1,0,female,course,I want to learn applied statistical concepts and models; ; ,1
100,109,1,I want to learn applied statistical concepts and models,STAT3021: Modern biostatistics,1,0,female,course,I want to learn applied statistical concepts and models; ; ,1
100,109,1,I want to learn applied statistical concepts and models,COMP2121A: Discrete Mathematics (CS),1,0,female,course,I want to learn applied statistical concepts and models; ; ,1
100,109,1,I want to learn applied statistical concepts and models,"COMP2121C: Discrete Mathematics (CS, CE, IS, 2nd Major)",1,0,female,course,I want to learn applied statistical concepts and models; ; ,1
100,109,1,I want to learn applied statistical concepts and models,"COMP2121B: Discrete Mathematics (CS, CE, IS)",1,0,female,course,I want to learn applied statistical concepts and models; ; ,1
101,110,1,small scale particle physics,PHYS4655: Interstellar medium,3,2,male,course,small scale particle physics; ; ,4
101,110,1,small scale particle physics,CHEM4542: Computational chemistry,1,2,male,course,small scale particle physics; ; ,4
101,110,1,small scale particle physics,PHYS3850: Physical Optics,2,2,male,course,small scale particle physics; ; ,4
101,110,1,small scale particle physics,"CHEM4142: Symmetry, group theory and applications",1,2,male,course,small scale particle physics; ; ,4
101,110,1,small scale particle physics,CHEM4241: Modern chemical instrumentation and applications,1,2,male,course,small scale particle physics; ; ,4
102,111,1,Im interested in biological sciences. Which course should I take?,BIOL4964: Biological sciences internship,4,3,female,course,Im interested in biological sciences. Which course should I take?; ; ,4
102,111,1,Im interested in biological sciences. Which course should I take?,BIOL3994: Directed studies in biological sciences,4,3,female,course,Im interested in biological sciences. Which course should I take?; ; ,4
102,111,1,Im interested in biological sciences. Which course should I take?,BIOL4963: Molecular biology & biotechnology internship,3,3,female,course,Im interested in biological sciences. Which course should I take?; ; ,4
102,111,1,Im interested in biological sciences. Which course should I take?,ENVS1301: Environmental life science,2,3,female,course,Im interested in biological sciences. Which course should I take?; ; ,4
102,111,1,Im interested in biological sciences. Which course should I take?,SCNC1112: Fundamentals of modern science,4,3,female,course,Im interested in biological sciences. Which course should I take?; ; ,4
103,112,1,life science,SCNC1112: Fundamentals of modern science,3,2,male,course,life science; ; ,3
103,112,1,life science,ENVS1301: Environmental life science,5,2,male,course,life science; ; ,3
103,112,1,life science,BIOL3994: Directed studies in biological sciences,3,2,male,course,life science; ; ,3
103,112,1,life science,PHYS1055: How things work,3,2,male,course,life science; ; ,3
103,112,1,life science,BIOL4962: Food & nutritional science internship,3,2,male,course,life science; ; ,3
104,113,1,learn things related to risk identification,STAT4603: Current topics in risk management,4,2,female,course,learn things related to risk identification; ; ,4
104,113,1,learn things related to risk identification,ENTR3001: Science-based innovation development,1,2,female,course,learn things related to risk identification; ; ,4
104,113,1,learn things related to risk identification,STAT4798: Statistics and actuarial science project,3,2,female,course,learn things related to risk identification; ; ,4
104,113,1,learn things related to risk identification,BIOL3204: Nutrition and the life cycle,1,2,female,course,learn things related to risk identification; ; ,4
104,113,1,learn things related to risk identification,ENVS2001: Methods in environmental science,1,2,female,course,learn things related to risk identification; ; ,4
105,114,1,I like to learn biofuels as alternative energy sources!,ENVS3010: Sustainable energy and environment,5,4,female,course,I like to learn biofuels as alternative energy sources!; ; ,5
105,114,1,I like to learn biofuels as alternative energy sources!,ENVS1401: Introduction to environmental science,5,4,female,course,I like to learn biofuels as alternative energy sources!; ; ,5
105,114,1,I like to learn biofuels as alternative energy sources!,ENVS1301: Environmental life science,5,4,female,course,I like to learn biofuels as alternative energy sources!; ; ,5
105,114,1,I like to learn biofuels as alternative energy sources!,BIOL3303: Conservation biology,5,4,female,course,I like to learn biofuels as alternative energy sources!; ; ,5
105,114,1,I like to learn biofuels as alternative energy sources!,ENTR3001: Science-based innovation development,3,4,female,course,I like to learn biofuels as alternative energy sources!; ; ,5
106,115,1,Im interested in risk management,STAT4603: Current topics in risk management,5,3,female,course,Im interested in risk management; ; ,4
106,115,1,Im interested in risk management,ENTR3001: Science-based innovation development,3,3,female,course,Im interested in risk management; ; ,4
106,115,1,Im interested in risk management,STAT3906: Risk theory I,5,3,female,course,Im interested in risk management; ; ,4
106,115,1,Im interested in risk management,STAT4798: Statistics and actuarial science project,4,3,female,course,Im interested in risk management; ; ,4
106,115,1,Im interested in risk management,STAT3615: Practical mathematics for investment,5,3,female,course,Im interested in risk management; ; ,4
107,116,1,cosmology,SCNC1112: Fundamentals of modern science,3,2,male,course,cosmology; ; ,2
107,116,1,cosmology,PHYS4655: Interstellar medium,5,2,male,course,cosmology; ; ,2
107,116,1,cosmology,"CHEM4142: Symmetry, group theory and applications",3,2,male,course,cosmology; ; ,2
107,116,1,cosmology,CHEM4542: Computational chemistry,2,2,male,course,cosmology; ; ,2
107,116,1,cosmology,PHYS1240: Physics by inquiry,2,2,male,course,cosmology; ; ,2
108,117,1,curious about astrophysics,SCNC1112: Fundamentals of modern science,4,4,male,course,curious about astrophysics; ; ,4
108,117,1,curious about astrophysics,PHYS4655: Interstellar medium,5,4,male,course,curious about astrophysics; ; ,4
108,117,1,curious about astrophysics,CHEM4542: Computational chemistry,4,4,male,course,curious about astrophysics; ; ,4
108,117,1,curious about astrophysics,PHYS1240: Physics by inquiry,4,4,male,course,curious about astrophysics; ; ,4
108,117,1,curious about astrophysics,PHYS3850: Physical Optics,1,4,male,course,curious about astrophysics; ; ,4
109,119,1,risk analytics skills,STAT4609: Big data analytics,4,1,male,course,risk analytics skills; ; ,2
109,119,1,risk analytics skills,STAT4603: Current topics in risk management,5,1,male,course,risk analytics skills; ; ,2
109,119,1,risk analytics skills,COMP3314A: Machine Learning,2,1,male,course,risk analytics skills; ; ,2
109,119,1,risk analytics skills,COMP3314B: Machine Learning,2,1,male,course,risk analytics skills; ; ,2
109,119,1,risk analytics skills,COMP3314C: Machine Learning,2,1,male,course,risk analytics skills; ; ,2
110,120,1,molecular and cell biology,CHEM4444: Chemical biology,2,3,male,course,molecular and cell biology; ; ,4
110,120,1,molecular and cell biology,BIOL4416: Stem cells and regenerative biology,5,3,male,course,molecular and cell biology; ; ,4
110,120,1,molecular and cell biology,BIOC2600: Basic biochemistry,5,3,male,course,molecular and cell biology; ; ,4
110,120,1,molecular and cell biology,BIOL1110: From molecules to cells,5,3,male,course,molecular and cell biology; ; ,4
110,120,1,molecular and cell biology,BIOL2220: Principles of biochemistry,2,3,male,course,molecular and cell biology; ; ,4
111,121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL4415: Healthcare biotechnology,4,2,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; ",3
111,121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3303: Conservation biology,2,2,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; ",3
111,121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3508: Microbial physiology and biotechnology,2,2,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; ",3
111,121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL3608: Food commodities,4,2,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; ",3
111,121,1,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes",BIOL4205: Food technology,4,2,female,course,"I want to learn about agriculture production, fisheries and aquaculture, biomedical research and pharmaceutical purposes; ; ",3
